"Player","Position","Handedness","Season","Team","GP","Strength","TOI","Goals","xGoals","Assists","A1","A2","P","P1","iSh%","iFSh%","ixFSh%","iSF","iFen","iCorsi","G60","xG60","A60","A160","A260","P60","P160","iSF60","iFen60","iCorsi60","HF","HA","Takeaways","Giveaways","PEND","PENT","Blocks","Faceoff Wins","Faceoff Losses","Faceoff%"
"MIKHAIL GRIGORENKO","C","L","2016","COL","19","All Situations","249.13","2","2.08","5","3","2","7","5","8.00","6.45","6.71","25","31","39","0.48","0.50","1.20","0.72","0.48","1.69","1.20","6.02","7.47","9.39","8","17","10","3","1","4","5","36","44","45.00"
"NIC DOWD","C","R","2016","L.A","20","All Situations","273.82","2","2.5","8","6","2","10","8","8.00","5.71","7.14","25","35","42","0.44","0.55","1.75","1.31","0.44","2.19","1.75","5.48","7.67","9.20","54","30","3","7","0","2","12","110","125","46.81"
"NIKITA ZAITSEV","D","R","2016","TOR","21","All Situations","463.12","0","1.2","8","3","5","8","3","0.00","0.00","3.00","25","40","73","0.00","0.16","1.04","0.39","0.65","1.04","0.39","3.24","5.18","9.46","50","43","9","17","1","2","31","0","0",""
"SCOTTIE UPSHALL","RW","L","2016","STL","19","All Situations","197.48","3","3.46","3","2","1","6","5","12.00","8.57","9.88","25","35","43","0.91","1.05","0.91","0.61","0.30","1.82","1.52","7.60","10.63","13.06","21","16","3","3","3","5","0","1","2","33.33"
"THOMAS HICKEY","D","L","2016","NYI","20","All Situations","375.70","1","1.03","3","0","3","4","1","4.00","2.70","2.78","25","37","46","0.16","0.16","0.48","0.00","0.48","0.64","0.16","3.99","5.91","7.35","28","37","2","11","8","1","39","0","0",""
"ADAM CRACKNELL","RW","R","2016","DAL","22","All Situations","221.65","2","2.17","1","1","0","3","3","8.33","5.41","5.87","24","37","53","0.54","0.59","0.27","0.27","0.00","0.81","0.81","6.50","10.02","14.35","30","14","3","5","5","2","14","33","36","47.83"
"DEREK DORSETT","RW","R","2016","VAN","14","All Situations","139.05","1","1.83","3","2","1","4","3","4.17","3.85","7.03","24","26","33","0.43","0.79","1.29","0.86","0.43","1.73","1.29","10.36","11.22","14.24","35","13","2","1","8","2","6","1","0","100.00"
"DEVIN SHORE","C","L","2016","DAL","22","All Situations","300.60","1","3.15","7","5","2","8","6","4.17","2.86","9.00","24","35","47","0.20","0.63","1.40","1.00","0.40","1.60","1.20","4.79","6.99","9.38","13","12","10","2","5","1","17","91","99","47.89"
"DOMINIC MOORE","C","L","2016","BOS","21","All Situations","278.42","5","3.04","3","2","1","8","7","20.83","16.67","10.12","24","30","39","1.08","0.65","0.65","0.43","0.22","1.72","1.51","5.17","6.47","8.40","6","18","5","7","4","4","10","102","80","56.04"
"ERIC FEHR","C","R","2016","PIT","22","All Situations","248.38","2","2.02","2","0","2","4","2","8.33","6.90","6.96","24","29","37","0.48","0.49","0.48","0.00","0.48","0.97","0.48","5.80","7.01","8.94","25","21","15","5","1","2","12","27","22","55.10"
"KARL ALZNER","D","L","2016","WSH","21","All Situations","422.77","2","1.26","2","1","1","4","3","8.33","6.25","3.93","24","32","44","0.28","0.18","0.28","0.14","0.14","0.57","0.43","3.41","4.54","6.24","25","28","5","13","4","4","28","0","0",""
"LARS ELLER","C","L","2016","WSH","20","All Situations","280.32","2","2.76","1","0","1","3","2","8.33","5.26","7.26","24","38","51","0.43","0.59","0.21","0.00","0.21","0.64","0.43","5.14","8.13","10.92","14","31","10","6","1","9","4","113","102","52.56"
"MATT CALVERT","LW","L","2016","CBJ","17","All Situations","261.10","2","3.22","1","1","0","3","3","8.33","5.71","9.19","24","35","44","0.46","0.74","0.23","0.23","0.00","0.69","0.69","5.52","8.04","10.11","22","19","10","8","1","6","8","2","11","15.38"
"RYAN SPROUL","D","R","2016","DET","11","All Situations","179.43","1","1.12","4","2","2","5","3","4.17","3.12","3.49","24","32","38","0.33","0.37","1.34","0.67","0.67","1.67","1.00","8.03","10.70","12.71","5","7","2","2","1","0","4","0","0",""
"TIM SCHALLER","C","L","2016","BOS","18","All Situations","213.62","3","2.62","3","3","0","6","6","12.50","8.11","7.09","24","37","44","0.84","0.74","0.84","0.84","0.00","1.69","1.69","6.74","10.39","12.36","19","27","5","9","0","6","8","18","10","64.29"
"ANDY GREENE","D","L","2016","N.J","21","All Situations","466.92","2","1.73","3","0","3","5","2","8.70","4.88","4.21","23","41","57","0.26","0.22","0.39","0.00","0.39","0.64","0.26","2.96","5.27","7.32","22","30","7","12","3","1","45","0","0",""
"ANTHONY DUCLAIR","LW","L","2016","ARI","19","All Situations","255.75","1","2.59","2","1","1","3","2","4.35","3.23","8.35","23","31","45","0.23","0.61","0.47","0.23","0.23","0.70","0.47","5.40","7.27","10.56","8","26","8","10","1","5","2","0","0",""
"AUSTIN CZARNIK","C","R","2016","BOS","17","All Situations","239.13","2","1.81","3","2","1","5","4","8.70","6.90","6.23","23","29","37","0.50","0.45","0.75","0.50","0.25","1.25","1.00","5.77","7.28","9.28","4","9","5","6","5","2","13","5","19","20.83"
"BEN LOVEJOY","D","R","2016","N.J","21","All Situations","424.15","0","0.87","2","1","1","2","1","0.00","0.00","2.57","23","34","41","0.00","0.12","0.28","0.14","0.14","0.28","0.14","3.25","4.81","5.80","30","41","6","6","2","5","35","0","0",""
"BRADY SKJEI","D","L","2016","NYR","22","All Situations","370.17","0","0.9","11","4","7","11","4","0.00","0.00","2.59","23","35","54","0.00","0.15","1.78","0.65","1.13","1.78","0.65","3.73","5.67","8.75","35","27","4","16","1","4","20","0","1","0.00"
"BRENDEN DILLON","D","L","2016","S.J","21","All Situations","332.05","0","0.94","1","0","1","1","0","0.00","0.00","2.46","23","38","58","0.00","0.17","0.18","0.00","0.18","0.18","0.00","4.16","6.87","10.48","45","23","1","5","1","9","17","0","0",""
"BRIAN CAMPBELL","D","L","2016","CHI","23","All Situations","426.90","2","1.19","6","3","3","8","5","8.70","5.56","3.31","23","36","50","0.28","0.17","0.84","0.42","0.42","1.12","0.70","3.23","5.06","7.03","15","58","0","17","1","5","16","0","0",""
"CASEY CIZIKAS","C","L","2016","NYI","20","All Situations","295.65","2","3.56","4","3","1","6","5","8.70","7.14","12.71","23","28","36","0.41","0.72","0.81","0.61","0.20","1.22","1.01","4.67","5.68","7.31","52","24","9","8","6","6","16","144","155","48.16"
"DEREK FORBORT","D","L","2016","L.A","22","All Situations","380.45","1","0.58","5","2","3","6","3","4.35","3.12","1.80","23","32","52","0.16","0.09","0.79","0.32","0.47","0.95","0.47","3.63","5.05","8.20","47","39","2","14","2","7","48","0","0",""
"EVANDER KANE","LW","L","2016","BUF","10","All Situations","186.92","0","1.67","2","2","0","2","2","0.00","0.00","4.92","23","34","48","0.00","0.54","0.64","0.64","0.00","0.64","0.64","7.38","10.91","15.41","22","12","7","5","3","4","4","14","14","50.00"
"MICHAL KEMPNY","D","L","2016","CHI","19","All Situations","309.22","0","0.9","2","1","1","2","1","0.00","0.00","2.15","23","42","63","0.00","0.17","0.39","0.19","0.19","0.39","0.19","4.46","8.15","12.22","34","23","2","11","3","5","17","0","0",""
"NATHAN BEAULIEU","D","L","2016","MTL","20","All Situations","343.15","1","1.29","5","4","1","6","5","4.35","3.12","4.04","23","32","55","0.17","0.23","0.87","0.70","0.17","1.05","0.87","4.02","5.60","9.62","22","60","6","23","2","5","35","0","0",""
"NICK LAPPIN","RW","R","2016","N.J","15","All Situations","190.02","3","2.86","2","1","1","5","4","13.04","10.00","9.54","23","30","35","0.95","0.90","0.63","0.32","0.32","1.58","1.26","7.26","9.47","11.05","16","24","6","1","1","1","2","2","3","40.00"
"RYAN GARBUTT","C","L","2016","ANA","22","All Situations","206.78","2","1.72","1","0","1","3","2","8.70","5.13","4.41","23","39","52","0.58","0.50","0.29","0.00","0.29","0.87","0.58","6.67","11.32","15.09","38","21","2","2","4","6","9","5","3","62.50"
"TOBIAS ENSTROM","D","L","2016","WPG","22","All Situations","492.38","1","1","6","3","3","7","4","4.35","2.94","2.95","23","34","57","0.12","0.12","0.73","0.37","0.37","0.85","0.49","2.80","4.14","6.95","7","30","5","12","4","4","27","0","0",""
"TRAVIS HAMONIC","D","R","2016","NYI","17","All Situations","345.05","2","0.87","4","1","3","6","3","8.70","5.26","2.29","23","38","58","0.35","0.15","0.70","0.17","0.52","1.04","0.52","4.00","6.61","10.09","25","17","7","9","2","6","33","0","0",""
"ANDREJ SEKERA","D","L","2016","EDM","22","All Situations","444.90","2","1.55","4","4","0","6","6","9.09","5.00","3.88","22","40","80","0.27","0.21","0.54","0.54","0.00","0.81","0.81","2.97","5.39","10.79","15","46","11","12","2","4","37","0","0",""
"ANTON STRALMAN","D","R","2016","T.B","15","All Situations","331.75","1","1.03","6","2","4","7","3","4.55","3.03","3.12","22","33","51","0.18","0.19","1.09","0.36","0.72","1.27","0.54","3.98","5.97","9.22","16","16","6","6","4","0","13","0","0",""
"CALLE JARNKROK","C","R","2016","NSH","20","All Situations","285.50","3","2.93","1","0","1","4","3","13.64","8.82","8.60","22","34","39","0.63","0.61","0.21","0.00","0.21","0.84","0.63","4.62","7.15","8.20","10","16","6","6","3","2","2","88","90","49.44"
"JASON DEMERS","D","R","2016","FLA","21","All Situations","416.32","2","3.27","6","3","3","8","5","9.09","4.44","7.27","22","45","62","0.29","0.47","0.86","0.43","0.43","1.15","0.72","3.17","6.49","8.94","21","24","11","11","2","3","23","0","0",""
"JOE THORNTON","C","L","2016","S.J","22","All Situations","414.00","2","3.04","11","5","6","13","7","9.09","7.14","10.87","22","28","37","0.29","0.44","1.59","0.72","0.87","1.88","1.01","3.19","4.06","5.36","20","14","17","20","2","3","9","134","84","61.47"
"MARCUS KRUGER","C","L","2016","CHI","23","All Situations","305.67","1","4.12","4","1","3","5","2","4.55","3.03","12.50","22","33","36","0.20","0.81","0.79","0.20","0.59","0.98","0.39","4.32","6.48","7.07","9","32","10","4","4","10","12","120","106","53.10"
"MATT NIETO","LW","L","2016","S.J","13","All Situations","161.00","0","1.79","2","1","1","2","1","0.00","0.00","6.17","22","29","34","0.00","0.67","0.75","0.37","0.37","0.75","0.37","8.20","10.81","12.67","20","12","6","3","1","1","6","0","2","0.00"
"NATE SCHMIDT","D","L","2016","WSH","18","All Situations","271.02","0","0.9","5","2","3","5","2","0.00","0.00","3.11","22","29","46","0.00","0.20","1.11","0.44","0.66","1.11","0.44","4.87","6.42","10.18","14","17","13","19","1","2","10","0","0",""
"NIKITA NESTEROV","D","L","2016","T.B","17","All Situations","287.67","2","0.85","1","1","0","3","3","9.09","6.90","2.94","22","29","50","0.42","0.18","0.21","0.21","0.00","0.63","0.63","4.59","6.05","10.43","26","20","1","7","1","6","13","0","0",""
"PATRICK WIERCIOCH","D","L","2016","COL","18","All Situations","318.43","2","1.03","6","2","4","8","4","9.09","6.45","3.34","22","31","50","0.38","0.19","1.13","0.38","0.75","1.51","0.75","4.15","5.84","9.42","16","16","3","4","2","6","22","0","0",""
"PAVEL ZACHA","C","L","2016","N.J","21","All Situations","303.28","2","1.95","5","4","1","7","6","9.09","6.67","6.51","22","30","35","0.40","0.39","0.99","0.79","0.20","1.38","1.19","4.35","5.94","6.92","22","19","2","5","7","3","12","64","75","46.04"
"PHILIP LARSEN","D","R","2016","VAN","13","All Situations","235.23","0","1.09","4","3","1","4","3","0.00","0.00","3.03","22","36","63","0.00","0.28","1.02","0.77","0.26","1.02","0.77","5.61","9.18","16.07","4","19","1","3","0","2","12","0","0",""
"RON HAINSEY","D","L","2016","CAR","20","All Situations","439.78","1","0.97","5","5","0","6","6","4.55","3.03","2.95","22","33","48","0.14","0.13","0.68","0.68","0.00","0.82","0.82","3.00","4.50","6.55","31","16","4","14","4","4","20","0","0",""
"TOM WILSON","RW","R","2016","WSH","21","All Situations","274.00","1","2.34","0","0","0","1","1","4.55","3.85","9.01","22","26","39","0.22","0.51","0.00","0.00","0.00","0.22","0.22","4.82","5.69","8.54","42","30","10","4","11","3","3","0","2","0.00"
"VERNON FIDDLER","C","L","2016","N.J","21","All Situations","262.32","1","1.82","1","0","1","2","1","4.55","3.85","7.00","22","26","32","0.23","0.42","0.23","0.00","0.23","0.46","0.23","5.03","5.95","7.32","21","24","4","11","9","4","9","140","102","57.85"
"ALEXANDER WENNBERG","C","L","2016","CBJ","20","All Situations","355.08","4","2.23","14","5","9","18","9","19.05","14.29","7.97","21","28","40","0.68","0.38","2.37","0.84","1.52","3.04","1.52","3.55","4.73","6.76","20","19","6","8","4","2","15","138","161","46.15"
"ALEXEI EMELIN","D","L","2016","MTL","22","All Situations","470.02","1","0.72","3","1","2","4","2","4.76","3.33","2.40","21","30","49","0.13","0.09","0.38","0.13","0.26","0.51","0.26","2.68","3.83","6.26","76","51","3","27","8","8","38","0","0",""
"ANTHONY MANTHA","RW","L","2016","DET","7","All Situations","116.07","2","1.91","2","1","1","4","3","9.52","7.41","7.06","21","27","30","1.03","0.99","1.03","0.52","0.52","2.07","1.55","10.86","13.96","15.51","4","6","2","3","2","0","8","1","0","100.00"
"BENOIT POULIOT","LW","L","2016","EDM","19","All Situations","293.02","3","3.09","1","1","0","4","4","14.29","8.11","8.34","21","37","45","0.61","0.63","0.20","0.20","0.00","0.82","0.82","4.30","7.58","9.21","10","19","3","7","7","11","13","3","6","33.33"
"BRETT PESCE","D","R","2016","CAR","20","All Situations","397.43","0","0.93","4","2","2","4","2","0.00","0.00","2.67","21","35","61","0.00","0.14","0.60","0.30","0.30","0.60","0.30","3.17","5.28","9.21","14","26","14","11","5","2","30","0","0",""
"CONNOR MURPHY","D","R","2016","ARI","18","All Situations","387.37","0","0.62","4","3","1","4","3","0.00","0.00","2.30","21","27","48","0.00","0.10","0.62","0.46","0.15","0.62","0.46","3.25","4.18","7.43","40","36","5","5","4","6","30","0","0",""
"JANNIK HANSEN","RW","R","2016","VAN","12","All Situations","199.47","2","3.42","4","4","0","6","6","9.52","6.90","11.79","21","29","40","0.60","1.03","1.20","1.20","0.00","1.80","1.80","6.32","8.72","12.03","13","9","6","4","5","2","2","0","0",""
"JARED MCCANN","C","L","2016","FLA","17","All Situations","171.93","1","1.71","2","2","0","3","3","4.76","3.45","5.89","21","29","35","0.35","0.60","0.70","0.70","0.00","1.05","1.05","7.33","10.12","12.21","14","12","5","5","3","1","4","19","25","43.18"
"JOE COLBORNE","C","L","2016","COL","19","All Situations","238.33","3","3.59","1","1","0","4","4","14.29","11.54","13.79","21","26","29","0.76","0.90","0.25","0.25","0.00","1.01","1.01","5.29","6.55","7.30","18","16","3","4","5","3","6","29","39","42.65"
"JOSH MANSON","D","R","2016","ANA","22","All Situations","415.03","0","0.52","5","1","4","5","1","0.00","0.00","1.84","21","28","37","0.00","0.07","0.72","0.14","0.58","0.72","0.14","3.04","4.05","5.35","59","39","4","19","6","13","15","0","0",""
"MARK PYSYK","D","R","2016","FLA","21","All Situations","369.88","1","0.83","2","0","2","3","1","4.76","3.12","2.61","21","32","41","0.16","0.14","0.32","0.00","0.32","0.49","0.16","3.41","5.19","6.65","15","23","9","4","2","2","24","0","1","0.00"
"MATT MARTIN","LW","L","2016","TOR","21","All Situations","207.83","2","3.38","2","0","2","4","2","9.52","7.41","12.51","21","27","33","0.58","0.98","0.58","0.00","0.58","1.15","0.58","6.06","7.79","9.53","91","33","6","2","8","8","3","0","3","0.00"
"NICK SHORE","C","R","2016","L.A","21","All Situations","246.08","0","1.61","3","2","1","3","2","0.00","0.00","5.54","21","29","42","0.00","0.39","0.73","0.49","0.24","0.73","0.49","5.12","7.07","10.24","18","17","3","5","4","4","6","85","106","44.50"
"TOMMY WINGELS","C","R","2016","S.J","20","All Situations","187.45","4","2.24","1","1","0","5","5","19.05","14.81","8.31","21","27","31","1.28","0.72","0.32","0.32","0.00","1.60","1.60","6.72","8.64","9.92","30","25","0","6","2","1","10","35","39","47.30"
"ANDREAS ATHANASIOU","C","L","2016","DET","13","All Situations","157.40","4","1.44","1","1","0","5","5","20.00","13.79","4.96","20","29","36","1.52","0.55","0.38","0.38","0.00","1.91","1.91","7.62","11.05","13.72","5","12","2","4","3","0","4","1","3","25.00"
"CEDRIC PAQUETTE","C","L","2016","T.B","21","All Situations","208.02","1","1.61","4","3","1","5","4","5.00","3.70","5.95","20","27","39","0.29","0.46","1.15","0.87","0.29","1.44","1.15","5.77","7.79","11.25","47","33","8","3","5","4","9","56","54","50.91"
"CHRIS NEIL","RW","R","2016","OTT","20","All Situations","168.92","1","2.12","1","1","0","2","2","5.00","4.35","9.21","20","23","30","0.36","0.75","0.36","0.36","0.00","0.71","0.71","7.10","8.17","10.66","45","23","3","5","3","9","9","0","0",""
"CHRIS TIERNEY","C","L","2016","S.J","22","All Situations","286.12","1","1.83","6","4","2","7","5","5.00","3.57","6.55","20","28","36","0.21","0.38","1.26","0.84","0.42","1.47","1.05","4.19","5.87","7.55","13","14","10","15","1","0","13","84","98","46.15"
"DENNIS RASMUSSEN","C","L","2016","CHI","20","All Situations","238.55","1","1.65","0","0","0","1","1","5.00","3.85","6.35","20","26","32","0.25","0.42","0.00","0.00","0.00","0.25","0.25","5.03","6.54","8.05","22","31","7","7","4","1","16","43","53","44.79"
"DMITRIJ JASKIN","RW","L","2016","STL","20","All Situations","230.10","0","2.11","5","3","2","5","3","0.00","0.00","7.04","20","30","36","0.00","0.55","1.30","0.78","0.52","1.30","0.78","5.22","7.82","9.39","35","30","4","5","4","3","5","3","4","42.86"
"JT BROWN","RW","R","2016","T.B","19","All Situations","204.02","2","2.61","1","0","1","3","2","10.00","7.41","9.68","20","27","34","0.59","0.77","0.29","0.00","0.29","0.88","0.59","5.88","7.94","10.00","28","19","4","3","9","7","5","0","1","0.00"
"JUSSI JOKINEN","LW","L","2016","FLA","11","All Situations","202.80","1","2.03","3","3","0","4","4","5.00","4.00","8.12","20","25","33","0.30","0.60","0.89","0.89","0.00","1.18","1.18","5.92","7.40","9.76","3","6","4","14","0","6","5","6","5","54.55"
"JUSTIN BRAUN","D","R","2016","S.J","22","All Situations","442.40","0","0.59","2","2","0","2","2","0.00","0.00","1.69","20","35","70","0.00","0.08","0.27","0.27","0.00","0.27","0.27","2.71","4.75","9.49","28","43","12","17","0","3","43","0","0",""
"KYLE BRODZIAK","C","R","2016","STL","21","All Situations","204.75","2","1.44","1","0","1","3","2","10.00","8.00","5.74","20","25","27","0.59","0.42","0.29","0.00","0.29","0.88","0.59","5.86","7.33","7.91","18","8","6","0","4","9","10","62","72","46.27"
"KYLE CONNOR","LW","L","2016","WPG","17","All Situations","226.27","1","2.22","3","1","2","4","2","5.00","3.12","6.94","20","32","36","0.27","0.59","0.80","0.27","0.53","1.06","0.53","5.30","8.49","9.55","1","9","9","5","1","2","8","1","1","50.00"
"LAURENT DAUPHIN","C","L","2016","ARI","15","All Situations","163.88","1","1.45","1","1","0","2","2","5.00","4.55","6.57","20","22","25","0.37","0.53","0.37","0.37","0.00","0.73","0.73","7.32","8.05","9.15","25","24","7","1","1","2","7","17","22","43.59"
"MATT STAJAN","C","L","2016","CGY","23","All Situations","306.28","1","1.79","5","5","0","6","6","5.00","3.03","5.42","20","33","39","0.20","0.35","0.98","0.98","0.00","1.18","1.18","3.92","6.46","7.64","21","14","7","4","2","4","16","116","75","60.73"
"MIKKEL BOEDKER","LW","L","2016","S.J","22","All Situations","323.02","2","3.82","0","0","0","2","2","10.00","5.41","10.32","20","37","51","0.37","0.71","0.00","0.00","0.00","0.37","0.37","3.71","6.87","9.47","16","18","8","14","4","2","6","2","7","22.22"
"SHANE PRINCE","LW","L","2016","NYI","13","All Situations","159.85","3","2.02","3","3","0","6","6","15.00","13.04","8.77","20","23","39","1.13","0.76","1.13","1.13","0.00","2.25","2.25","7.51","8.63","14.64","16","20","4","3","2","3","1","3","1","75.00"
"ADAM MCQUAID","D","R","2016","BOS","16","All Situations","287.77","0","0.48","0","0","0","0","0","0.00","0.00","1.72","19","28","37","0.00","0.10","0.00","0.00","0.00","0.00","0.00","3.96","5.84","7.71","34","36","1","4","1","4","25","0","0",""
"BRANDON DUBINSKY","C","L","2016","CBJ","18","All Situations","323.42","2","2.78","5","3","2","7","5","10.53","6.06","8.42","19","33","45","0.37","0.52","0.93","0.56","0.37","1.30","0.93","3.52","6.12","8.35","56","14","10","8","6","6","15","184","156","54.12"
"BROOKS ORPIK","D","L","2016","WSH","21","All Situations","357.17","0","0.99","5","3","2","5","3","0.00","0.00","3.52","19","28","43","0.00","0.17","0.84","0.50","0.34","0.84","0.50","3.19","4.70","7.22","45","23","5","14","2","3","30","0","0",""
"CHRIS WAGNER","C","R","2016","ANA","19","All Situations","193.83","2","2.96","0","0","0","2","2","10.53","6.90","10.22","19","29","32","0.62","0.92","0.00","0.00","0.00","0.62","0.62","5.88","8.98","9.91","41","30","2","5","2","3","6","32","51","38.55"
"CURTIS MCKENZIE","LW","L","2016","DAL","15","All Situations","141.08","1","1.75","2","2","0","3","3","5.26","4.55","7.94","19","22","25","0.43","0.74","0.85","0.85","0.00","1.28","1.28","8.08","9.36","10.63","30","13","0","0","8","2","9","1","1","50.00"
"DEREK GRANT","C","L","2016","BUF","21","All Situations","238.58","0","2.38","2","1","1","2","1","0.00","0.00","7.95","19","30","33","0.00","0.60","0.50","0.25","0.25","0.50","0.25","4.78","7.54","8.30","15","9","4","4","0","7","6","114","87","56.72"
"JACK SKILLE","RW","R","2016","VAN","15","All Situations","142.80","0","1.45","1","1","0","1","1","0.00","0.00","6.57","19","22","27","0.00","0.61","0.42","0.42","0.00","0.42","0.42","7.98","9.24","11.34","25","21","2","3","1","2","4","0","0",""
"JORDIN TOOTOO","RW","R","2016","CHI","18","All Situations","125.72","0","1.52","0","0","0","0","0","0.00","0.00","5.42","19","28","36","0.00","0.72","0.00","0.00","0.00","0.00","0.00","9.07","13.36","17.18","17","12","3","4","2","4","2","1","0","100.00"
"KEVIN FIALA","LW","L","2016","NSH","10","All Situations","119.35","2","1.85","0","0","0","2","2","10.53","10.00","9.23","19","20","26","1.01","0.93","0.00","0.00","0.00","1.01","1.01","9.55","10.05","13.07","8","6","3","5","3","1","1","0","0",""
"KEVIN KLEIN","D","R","2016","NYR","19","All Situations","348.50","0","0.75","6","4","2","6","4","0.00","0.00","3.28","19","23","31","0.00","0.13","1.03","0.69","0.34","1.03","0.69","3.27","3.96","5.34","34","22","8","11","3","0","41","0","0",""
"MARC STAAL","D","L","2016","NYR","22","All Situations","431.12","1","1.1","3","2","1","4","3","5.26","3.45","3.81","19","29","40","0.14","0.15","0.42","0.28","0.14","0.56","0.42","2.64","4.04","5.57","21","24","9","14","3","2","28","0","0",""
"NIC PETAN","LW","L","2016","WPG","12","All Situations","186.72","1","1.86","6","4","2","7","5","5.26","4.00","7.45","19","25","31","0.32","0.60","1.93","1.29","0.64","2.25","1.61","6.11","8.03","9.96","3","14","8","3","1","1","2","54","55","49.54"
"RYAN CALLAHAN","RW","R","2016","T.B","14","All Situations","201.28","2","1.82","2","1","1","4","3","10.53","7.41","6.76","19","27","34","0.60","0.54","0.60","0.30","0.30","1.19","0.89","5.66","8.05","10.14","35","22","6","6","7","2","9","3","2","60.00"
"ALEXEY MARCHENKO","D","R","2016","DET","19","All Situations","347.12","0","0.88","5","1","4","5","1","0.00","0.00","2.84","18","31","43","0.00","0.15","0.86","0.17","0.69","0.86","0.17","3.11","5.36","7.43","2","16","2","12","0","5","23","0","0",""
"ANDREJ NESTRASIL","C","L","2016","CAR","9","All Situations","107.65","1","1.97","1","1","0","2","2","5.56","5.00","9.87","18","20","25","0.56","1.10","0.56","0.56","0.00","1.11","1.11","10.03","11.15","13.93","9","7","6","4","0","1","1","2","2","50.00"
"ANTON SLEPYSHEV","LW","R","2016","EDM","11","All Situations","125.33","2","1.06","2","1","1","4","3","11.11","9.09","4.84","18","22","35","0.96","0.51","0.96","0.48","0.48","1.91","1.44","8.62","10.53","16.76","15","17","2","2","0","1","2","0","0",""
"BRETT CONNOLLY","RW","R","2016","WSH","13","All Situations","140.30","2","2.23","1","1","0","3","3","11.11","9.52","10.63","18","21","27","0.86","0.95","0.43","0.43","0.00","1.28","1.28","7.70","8.98","11.55","28","10","5","1","4","5","1","2","0","100.00"
"CHRISTIAN FOLIN","D","R","2016","MIN","19","All Situations","317.57","0","0.46","2","0","2","2","0","0.00","0.00","1.72","18","27","44","0.00","0.09","0.38","0.00","0.38","0.38","0.00","3.40","5.10","8.31","29","42","6","4","0","7","21","0","0",""
"DENNIS SEIDENBERG","D","L","2016","NYI","15","All Situations","290.10","4","0.32","4","2","2","8","6","22.22","18.18","1.47","18","22","32","0.83","0.07","0.83","0.41","0.41","1.65","1.24","3.72","4.55","6.62","18","36","2","10","0","6","37","0","0",""
"JOEL ARMIA","RW","R","2016","WPG","10","All Situations","143.07","1","2.33","3","3","0","4","4","5.56","4.35","10.13","18","23","32","0.42","0.98","1.26","1.26","0.00","1.68","1.68","7.55","9.65","13.42","8","9","10","7","2","1","2","2","3","40.00"
"KRIS RUSSELL","D","L","2016","EDM","15","All Situations","312.32","0","0.76","3","0","3","3","0","0.00","0.00","3.32","18","23","31","0.00","0.15","0.58","0.00","0.58","0.58","0.00","3.46","4.42","5.96","13","25","7","11","2","0","37","0","0",""
"MARKUS NUTIVAARA","D","L","2016","CBJ","20","All Situations","252.68","1","0.73","1","1","0","2","2","5.56","3.70","2.69","18","27","40","0.24","0.17","0.24","0.24","0.00","0.47","0.47","4.27","6.41","9.50","12","16","2","5","1","1","11","0","0",""
"MIKE RIBEIRO","C","L","2016","NSH","20","All Situations","314.23","3","2.71","9","5","4","12","8","16.67","12.50","11.29","18","24","35","0.57","0.52","1.72","0.95","0.76","2.29","1.53","3.44","4.58","6.68","12","17","4","13","2","8","3","90","83","52.02"
"PATRICK SHARP","LW","R","2016","DAL","8","All Situations","130.35","1","0.95","1","0","1","2","1","5.56","3.85","3.67","18","26","34","0.46","0.44","0.46","0.00","0.46","0.92","0.46","8.29","11.97","15.65","10","5","0","3","2","5","5","4","4","50.00"
"PAVEL BUCHNEVICH","RW","L","2016","NYR","10","All Situations","150.95","4","2.79","4","3","1","8","7","22.22","14.81","10.35","18","27","35","1.59","1.11","1.59","1.19","0.40","3.18","2.78","7.15","10.73","13.91","3","10","4","10","0","2","3","0","1","0.00"
"DAN GIRARDI","D","R","2016","NYR","18","All Situations","330.10","3","0.74","3","0","3","6","3","17.65","13.04","3.21","17","23","35","0.55","0.13","0.55","0.00","0.55","1.09","0.55","3.09","4.18","6.36","37","27","2","15","4","2","41","0","0",""
"ESA LINDELL","D","L","2016","DAL","13","All Situations","245.63","1","0.69","2","1","1","3","2","5.88","4.35","3.01","17","23","35","0.24","0.17","0.49","0.24","0.24","0.73","0.49","4.15","5.62","8.55","16","16","3","3","1","0","20","0","1","0.00"
"JAKOB CHYCHRUN","D","L","2016","ARI","15","All Situations","256.58","1","1.31","3","2","1","4","3","5.88","2.94","3.84","17","34","51","0.23","0.31","0.70","0.47","0.23","0.94","0.70","3.98","7.95","11.93","24","9","2","8","6","3","16","0","0",""
"JOHN-MICHAEL LILES","D","L","2016","BOS","21","All Situations","355.15","0","0.75","5","3","2","5","3","0.00","0.00","2.90","17","26","44","0.00","0.13","0.84","0.51","0.34","0.84","0.51","2.87","4.39","7.43","14","29","8","4","5","2","27","1","0","100.00"
"JONATHAN ERICSSON","D","L","2016","DET","22","All Situations","394.82","0","0.68","4","2","2","4","2","0.00","0.00","2.42","17","28","38","0.00","0.10","0.61","0.30","0.30","0.61","0.30","2.58","4.26","5.77","29","21","1","10","4","6","16","0","0",""
"NIKITA SOSHNIKOV","RW","L","2016","TOR","12","All Situations","115.17","1","1.5","3","3","0","4","4","5.88","4.55","6.81","17","22","25","0.52","0.78","1.56","1.56","0.00","2.08","2.08","8.86","11.46","13.02","24","15","3","2","2","2","2","1","2","33.33"
