"Player","Position","Handedness","Season","Team","GP","Strength","TOI","Goals","xGoals","Assists","A1","A2","P","P1","iSh%","iFSh%","ixFSh%","iSF","iFen","iCorsi","G60","xG60","A60","A160","A260","P60","P160","iSF60","iFen60","iCorsi60","HF","HA","Takeaways","Giveaways","PEND","PENT","Blocks","Faceoff Wins","Faceoff Losses","Faceoff%"
"JACK SKILLE","RW","R","2016","VAN","6","All Situations","64.73","0","0.77","0","0","0","0","0","0.00","0.00","7.67","9","10","12","0.00","0.71","0.00","0.00","0.00","0.00","0.00","8.34","9.27","11.12","12","9","0","3","1","0","3","0","0",""
"JAMIE MCGINN","LW","L","2016","ARI","6","All Situations","80.80","3","1.59","1","0","1","4","3","25.00","23.08","12.24","12","13","14","2.23","1.18","0.74","0.00","0.74","2.97","2.23","8.91","9.65","10.40","10","8","0","3","1","3","5","0","0",""
"MATT NIETO","LW","L","2016","S.J","6","All Situations","71.52","0","0.48","0","0","0","0","0","0.00","0.00","4.04","8","12","14","0.00","0.41","0.00","0.00","0.00","0.00","0.00","6.71","10.07","11.74","8","6","3","0","1","0","3","0","2","0.00"
"MICHAEL SGARBOSSA","C","L","2016","ANA","6","All Situations","66.58","0","0.62","2","1","1","2","1","0.00","0.00","5.62","7","11","13","0.00","0.56","1.80","0.90","0.90","1.80","0.90","6.31","9.91","11.72","4","4","0","2","1","0","2","25","30","45.45"
"NICHOLAS BAPTISTE","RW","R","2016","BUF","6","All Situations","52.08","1","0.72","0","0","0","1","1","12.50","11.11","7.95","8","9","9","1.15","0.82","0.00","0.00","0.00","1.15","1.15","9.22","10.37","10.37","4","4","0","1","0","1","1","0","1","0.00"
"PETER HOLLAND","C","L","2016","TOR","6","All Situations","66.47","0","0.72","1","0","1","1","0","0.00","0.00","6.01","11","12","15","0.00","0.65","0.90","0.00","0.90","0.90","0.00","9.93","10.83","13.54","2","3","1","1","0","3","1","24","24","50.00"
"SERGEY KALININ","C","L","2016","N.J","6","All Situations","75.57","0","0.21","0","0","0","0","0","0.00","0.00","7.08","3","3","3","0.00","0.17","0.00","0.00","0.00","0.00","0.00","2.38","2.38","2.38","8","7","2","1","2","1","1","1","2","33.33"
"SIDNEY CROSBY","C","L","2016","PIT","6","All Situations","107.53","8","3.16","2","2","0","10","10","38.10","27.59","10.89","21","29","33","4.46","1.76","1.12","1.12","0.00","5.58","5.58","11.72","16.18","18.41","5","5","2","6","1","0","2","59","71","45.38"
"VINNIE HINOSTROZA","LW","R","2016","CHI","6","All Situations","57.37","0","0.2","0","0","0","0","0","0.00","0.00","6.79","3","3","7","0.00","0.21","0.00","0.00","0.00","0.00","0.00","3.14","3.14","7.32","4","10","4","2","0","0","3","2","2","50.00"
"ANDREJ NESTRASIL","C","L","2016","CAR","5","All Situations","61.47","0","0.57","1","1","0","1","1","0.00","0.00","7.17","7","8","12","0.00","0.56","0.98","0.98","0.00","0.98","0.98","6.83","7.81","11.71","6","1","0","2","0","1","1","2","2","50.00"
"CODY BASS","C","R","2016","NSH","5","All Situations","38.82","0","0","0","0","0","0","0","","","","0","0","2","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","3.09","9","6","2","0","0","1","1","0","1","0.00"
"CONOR SHEARY","LW","L","2016","PIT","5","All Situations","60.68","1","0.38","4","1","3","5","2","20.00","14.29","5.37","5","7","8","0.99","0.37","3.96","0.99","2.97","4.94","1.98","4.94","6.92","7.91","4","9","0","1","1","0","5","0","0",""
"GABRIEL BOURQUE","LW","L","2016","COL","5","All Situations","53.85","0","0.38","0","0","0","0","0","0.00","0.00","9.44","3","4","7","0.00","0.42","0.00","0.00","0.00","0.00","0.00","3.34","4.46","7.80","14","2","0","0","0","0","5","0","1","0.00"
"JOHN MITCHELL","C","L","2016","COL","5","All Situations","45.75","0","0.16","0","0","0","0","0","0.00","0.00","4.02","3","4","5","0.00","0.21","0.00","0.00","0.00","0.00","0.00","3.93","5.25","6.56","3","2","1","0","0","1","1","15","14","51.72"
"JORDAN NOLAN","C","L","2016","L.A","5","All Situations","43.27","0","0.15","0","0","0","0","0","0.00","0.00","3.71","3","4","7","0.00","0.21","0.00","0.00","0.00","0.00","0.00","4.16","5.55","9.71","6","6","0","1","0","3","0","0","0",""
"JOSH JOORIS","RW","R","2016","NYR","5","All Situations","40.03","1","0.33","0","0","0","1","1","33.33","20.00","6.70","3","5","7","1.50","0.50","0.00","0.00","0.00","1.50","1.50","4.50","7.49","10.49","10","4","1","1","1","0","2","13","8","61.90"
"MICHAEL RAFFL","LW","L","2016","PHI","5","All Situations","62.27","1","1.4","0","0","0","1","1","16.67","8.33","11.69","6","12","15","0.96","1.35","0.00","0.00","0.00","0.96","0.96","5.78","11.56","14.45","9","6","0","1","0","0","2","0","0",""
"MIKKO RANTANEN","RW","L","2016","COL","5","All Situations","87.18","0","1.13","1","0","1","1","0","0.00","0.00","8.04","12","14","20","0.00","0.77","0.69","0.00","0.69","0.69","0.00","8.26","9.64","13.76","0","9","2","0","2","0","3","6","1","85.71"
"MILAN MICHALEK","LW","L","2016","TOR","5","All Situations","71.35","1","0.61","1","0","1","2","1","16.67","12.50","7.62","6","8","10","0.84","0.51","0.84","0.00","0.84","1.68","0.84","5.05","6.73","8.41","7","8","3","1","0","1","8","0","1","0.00"
"NICK SORENSEN","RW","R","2016","ANA","5","All Situations","54.45","0","0.33","1","0","1","1","0","0.00","0.00","4.19","7","8","9","0.00","0.37","1.10","0.00","1.10","1.10","0.00","7.71","8.82","9.92","2","6","0","0","0","1","3","1","0","100.00"
"BEN SMITH","RW","R","2016","COL","4","All Situations","43.08","0","0.08","0","0","0","0","0","0.00","0.00","4.22","1","2","2","0.00","0.12","0.00","0.00","0.00","0.00","0.00","1.39","2.79","2.79","1","8","0","1","0","0","0","21","12","63.64"
"ERIK HAULA","LW","L","2016","MIN","4","All Situations","60.20","1","0.45","1","1","0","2","2","16.67","14.29","6.36","6","7","10","1.00","0.44","1.00","1.00","0.00","1.99","1.99","5.98","6.98","9.97","0","1","2","2","4","0","1","23","28","45.10"
"JIRI HUDLER","RW","L","2016","DAL","4","All Situations","59.65","0","0.2","0","0","0","0","0","","0.00","6.76","0","3","5","0.00","0.20","0.00","0.00","0.00","0.00","0.00","0.00","3.02","5.03","0","0","3","1","0","0","1","1","0","100.00"
"JUSSI JOKINEN","LW","L","2016","FLA","4","All Situations","75.07","0","0.56","2","2","0","2","2","0.00","0.00","9.40","4","6","8","0.00","0.45","1.60","1.60","0.00","1.60","1.60","3.20","4.80","6.39","2","1","1","4","0","4","2","6","5","54.55"
"MASON RAYMOND","LW","L","2016","ANA","4","All Situations","35.63","0","0.07","0","0","0","0","0","0.00","0.00","1.74","3","4","5","0.00","0.12","0.00","0.00","0.00","0.00","0.00","5.05","6.74","8.42","3","0","0","1","0","0","0","0","1","0.00"
"NICK LAPPIN","RW","R","2016","N.J","4","All Situations","42.63","0","0.21","2","1","1","2","1","0.00","0.00","5.19","4","4","4","0.00","0.29","2.81","1.41","1.41","2.81","1.41","5.63","5.63","5.63","2","4","2","0","1","0","0","0","1","0.00"
"OSCAR LINDBERG","C","L","2016","NYR","4","All Situations","40.97","0","0.1","0","0","0","0","0","0.00","0.00","2.62","3","4","4","0.00","0.15","0.00","0.00","0.00","0.00","0.00","4.39","5.86","5.86","3","5","0","0","0","1","3","19","13","59.38"
"PATRICK SHARP","LW","R","2016","DAL","4","All Situations","59.38","0","0.46","1","0","1","1","0","0.00","0.00","3.27","10","14","20","0.00","0.46","1.01","0.00","1.01","1.01","0.00","10.10","14.15","20.21","3","3","0","1","2","4","3","0","3","0.00"
"RYAN CALLAHAN","RW","R","2016","T.B","4","All Situations","52.93","0","0.79","1","1","0","1","1","0.00","0.00","7.90","6","10","11","0.00","0.90","1.13","1.13","0.00","1.13","1.13","6.80","11.34","12.47","9","5","3","2","5","0","2","2","1","66.67"
"TEDDY PURCELL","LW","R","2016","L.A","4","All Situations","54.52","0","0.19","0","0","0","0","0","0.00","0.00","4.73","3","4","9","0.00","0.21","0.00","0.00","0.00","0.00","0.00","3.30","4.40","9.90","3","4","0","2","0","0","0","1","0","100.00"
"ANTON SLEPYSHEV","LW","R","2016","EDM","3","All Situations","33.38","1","0.18","0","0","0","1","1","20.00","16.67","2.97","5","6","13","1.80","0.32","0.00","0.00","0.00","1.80","1.80","8.99","10.78","23.37","3","5","1","1","0","1","1","0","0",""
"BLAKE SPEERS","C","R","2016","N.J","3","All Situations","28.45","0","0.15","0","0","0","0","0","0.00","0.00","5.03","3","3","3","0.00","0.32","0.00","0.00","0.00","0.00","0.00","6.33","6.33","6.33","1","2","1","0","0","0","1","0","2","0.00"
"CHRISTOPH BERTSCHY","C","R","2016","MIN","3","All Situations","25.23","0","0.47","1","0","1","1","0","0.00","0.00","9.42","5","5","5","0.00","1.12","2.38","0.00","2.38","2.38","0.00","11.89","11.89","11.89","5","2","0","0","0","2","1","0","0",""
"CODY MCLEOD","LW","L","2016","COL","3","All Situations","21.43","0","0.16","0","0","0","0","0","0.00","0.00","15.77","1","1","1","0.00","0.44","0.00","0.00","0.00","0.00","0.00","2.80","2.80","2.80","3","1","0","0","2","0","0","0","0",""
"EMERSON ETEM","LW","L","2016","ANA","3","All Situations","26.42","0","0","0","0","0","0","0","","","","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","0.00","4","3","0","0","0","1","0","0","1","0.00"
"FREDDIE HAMILTON","C","R","2016","CGY","3","All Situations","30.25","0","0.19","0","0","0","0","0","0.00","0.00","3.86","2","5","6","0.00","0.38","0.00","0.00","0.00","0.00","0.00","3.97","9.92","11.90","9","2","1","0","0","0","0","12","6","66.67"
"JACOB JOSEFSON","C","L","2016","N.J","3","All Situations","38.67","0","0.25","1","0","1","1","0","0.00","0.00","6.26","3","4","4","0.00","0.39","1.55","0.00","1.55","1.55","0.00","4.65","6.21","6.21","3","4","1","1","1","1","0","2","1","66.67"
"MAGNUS PAAJARVI","LW","L","2016","STL","3","All Situations","27.78","1","0.23","0","0","0","1","1","50.00","50.00","11.42","2","2","4","2.16","0.49","0.00","0.00","0.00","2.16","2.16","4.32","4.32","8.64","1","1","0","0","0","0","1","1","1","50.00"
"NIKITA SOSHNIKOV","RW","L","2016","TOR","3","All Situations","25.22","1","0.65","1","1","0","2","2","20.00","16.67","10.83","5","6","6","2.38","1.55","2.38","2.38","0.00","4.76","4.76","11.90","14.27","14.27","8","4","0","1","0","2","0","0","1","0.00"
"OLIVER BJORKSTRAND","RW","R","2016","CBJ","3","All Situations","32.55","0","0.33","0","0","0","0","0","0.00","0.00","8.17","2","4","5","0.00","0.60","0.00","0.00","0.00","0.00","0.00","3.69","7.37","9.22","1","5","0","1","0","1","1","1","0","100.00"
"PHIL VARONE","C","L","2016","OTT","3","All Situations","24.63","0","0.1","0","0","0","0","0","","0.00","5.14","0","2","2","0.00","0.25","0.00","0.00","0.00","0.00","0.00","0.00","4.87","4.87","1","1","1","3","0","1","0","7","8","46.67"
"REID BOUCHER","C","L","2016","N.J","3","All Situations","31.65","0","0.24","1","1","0","1","1","0.00","0.00","6.10","2","4","8","0.00","0.46","1.90","1.90","0.00","1.90","1.90","3.79","7.58","15.17","1","2","1","0","0","1","1","0","0",""
"RICKARD RAKELL","C","R","2016","ANA","3","All Situations","54.58","3","0.89","3","2","1","6","5","23.08","20.00","5.96","13","15","16","3.30","0.98","3.30","2.20","1.10","6.60","5.50","14.29","16.49","17.59","5","6","0","1","0","0","1","8","6","57.14"
"SETH GRIFFITH","C","R","2016","TOR","3","All Situations","28.40","0","0.23","0","0","0","0","0","0.00","0.00","3.32","3","7","10","0.00","0.49","0.00","0.00","0.00","0.00","0.00","6.34","14.79","21.13","3","2","0","0","0","0","0","0","0",""
"TYLER GRAOVAC","C","L","2016","MIN","3","All Situations","26.97","1","0.46","0","0","0","1","1","50.00","33.33","15.35","2","3","5","2.22","1.02","0.00","0.00","0.00","2.22","2.22","4.45","6.67","11.12","1","3","1","0","0","0","0","12","10","54.55"
"ANDREW COPP","C","L","2016","WPG","2","All Situations","18.35","0","0.02","1","1","0","1","1","0.00","0.00","2.46","1","1","2","0.00","0.08","3.27","3.27","0.00","3.27","3.27","3.27","3.27","6.54","2","1","0","0","0","0","0","4","11","26.67"
"DANIEL CARR","LW","L","2016","MTL","2","All Situations","21.72","0","0.12","1","1","0","1","1","0.00","0.00","3.84","1","3","4","0.00","0.32","2.76","2.76","0.00","2.76","2.76","2.76","8.29","11.05","0","3","0","0","0","1","0","0","0",""
